English,Korean,Category,Notes
Action MOBA,액션 MOBA,Genre,"모바 = Multiplayer Online Battle Arena. 예시: League of Legends is a 대표 MOBA game"
Prism,프리즘,Game Mechanic,The single objective all 5 teams fight over
Cross-play,크로스플레이,Platform,Full cross-play across PS5 / PC / Xbox
Brand Identity,브랜드 아이덴티티,Creative/Branding,Visual and audio identity of the IP
Moodboard,무드보드,Creative/Branding,Visual reference board for creative direction
Keyart,키아트,Creative/Marketing,Primary marketing artwork
Endcard,엔드카드,Creative/Marketing,Closing card at end of trailer/video
Teaser Film,티저 필름,Creative/Marketing,Short teaser video before launch
Highlight Film,하이라이트 필름,Creative/Marketing,Short-form character skill showcase video
Launching Trailer,런칭 트레일러,Creative/Marketing,Official launch trailer
Lore Trailer,로어 트레일러,Creative/Marketing,Story/world-building trailer
Cinematic Trailer,시네마틱 트레일러,Creative/Marketing,High-quality cinematic trailer
Character Branding,캐릭터 브랜딩,Creative/Branding,Using characters as core brand identity
Mascot,마스코트,Creative/Branding,Single character used for early brand recognition
Glitch,글리치,Visual/Sound Design,Digital noise and screen distortion effect
Structural Dynamism,구조적 역동성,Creative/Visual,Keyword for creative moodboard direction
Prismatic Glitch,프리즈매틱 글리치,Creative/Visual,Keyword for creative moodboard direction
Geometric Collapse,기하학적 붕괴,Creative/Visual,Keyword for creative moodboard direction
Sonic Sound,소닉 사운드,Sound Design,Logo motion + signature sound design
Signature Sound,시그니처 사운드,Sound Design,Distinctive sound identity for ZETA
Short-form,숏폼,Marketing/Content,Short-form content for TikTok etc.
Beat Sync,비트싱크,Marketing/Content,TikTok challenge syncing skill clips to beat
USP,USP (핵심 차별점),Marketing,Unique Selling Point — core gameplay differentiator
Brand Building,브랜드 빌딩,Marketing,Phase 01 — raising awareness
Core Fan Base,코어 팬층,Marketing,Phase 02 — building dedicated fan community
Tentpole Action,텐트폴 액션,Marketing,Phase 03 — major event to dominate the market
Early Access,얼리 액세스 (EA),Publishing,Early Access launch phase
Gamescom,게임스컴,Event,Major gaming convention in Germany
Hero Select,영웅 선택,UI/Game,Hero selection screen
In-game Logic,인게임 로직,Game Design,In-game systems and rules
Ranked Mode,랭크 모드,Game Mode,Competitive ranked match mode
Aran Plateau,아란고원,World/Lore,Battle map location in ZETA
Pentakill,펜타킬,Gameplay,Eliminating 5 enemies in quick succession
Hexakill,헥사킬,Gameplay,Eliminating 6 enemies in quick succession
Super Play,슈퍼플레이,Gameplay,Exceptional in-game performance / highlight moment
Positioning,포지셔닝,Gameplay,Strategic positioning without aiming required
Brawler/Bruiser,브루저,Character Class,Front-line melee fighter class (e.g. Inho)
Ranged DPS,원거리 딜러,Character Class,Ranged damage dealer (e.g. Piper)
Assassin/Utility,어쌔신/유틸,Character Class,Mobile flanker and objective stealer (e.g. Scallione)
Beast-type character,수인 캐릭터,Character Type,Animal humanoid character type
Team Chemistry,팀 케미스트리,Character/Design,Chemistry and synergy between team characters
Visual & Role Clarity,시각/역할 명확성,Character/Design,Instantly readable character roles from visuals
Founding Community Members,파운딩 커뮤니티 멤버,Community,Beta testers credited in game
First Champions,퍼스트 챔피언스,Community,Top players from beta period
Trash Talk,트래시 토크,Community/Marketing,Competitive banter used in influencer marketing
Influencer,인플루언서,Marketing,Content creator used for game promotion
Streamer,스트리머,Marketing,Live streaming content creator
Tech Minimal Typography,테크 미니멀 타이포그래피,Logo/Design,Angular minimal type style for ZETA logo
Angular Letterform,각진 글자 형태,Logo/Design,Geometric cuts in letterforms
Geometric Cuts,기하학적 절단,Logo/Design,Parts of letters cut geometrically
Tech-Driven Arena Combat,테크 기반 아레나 전투,Brand/Design,Core identity concept for ZETA logo
Glass Friction,글래스 프릭션,Sound Design,Crystal glass rubbing sound — organic SFX layer
Organic SFX,오가닉 효과음,Sound Design,Natural sound effects layered into game audio
